AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle,IRSI,DrivingAggressiveness,FuelEfficiencyScore,RoadCategory
,0.0,28.312631160000002,,,0.5054008438818565,"25,49019623",64,100,801,"7,849999905",22,0.5041530944625408,15.38309574,0.0,0.5,1.0,25.083061889250814,40.21603375527426,1.7281612467705691,Good
,0.0,28.312631160000002,,,0.5054008438818565,"25,49019623",64,100,803,"7,889999866",22,0.5009771986970684,15.38309574,0.0,0.5,1.0,25.019543973941367,40.21603375527426,1.7281612467705691,Good
,0.22382670056268256,28.312631160000002,,,0.5078691983122363,"25,88235283",64,100,800,"7,769999981",22,0.49621335504885994,15.38309574,0.0,0.5,1.0,28.28166760941744,49.267835954996755,1.7281612467705691,Good
,0.22382670056268256,28.312631160000002,,,0.5103586497890296,"25,88235283",64,100,798,"7,769999981",22,0.49621335504885994,15.38309574,0.0,0.5,1.0,28.28166760941744,49.36741401406849,1.7281612467705691,Good
,0.0,28.312631160000002,,,0.5120042194092826,"25,88235283",65,100,798,"7,940000057",22,0.4946254071661238,15.38309574,0.0,0.5,1.0,24.892508143322477,40.48016877637131,1.7281612467705691,Good
,0.01263537829209152,28.312631160000002,,"1,576259971",0.5144725738396624,"25,88235283",65,100,799,"7,900000095",21,0.4914087947882736,15.38309574,0.0,0.5,1.0,25.017706570146846,41.08431808527016,1.7281612467705691,Good
,0.007220216299746835,28.312631160000002,,"-0,675539971",0.5177637130801688,"25,49019623",65,100,798,"7,900000095",22,0.4882328990228013,15.38309574,0.0,0.5,1.0,24.872961224952228,40.99935717519663,1.7281612467705691,Good
,0.01263537829209152,28.312631160000002,,"0,675539971",0.5218776371308017,"26,27450943",65,100,799,"7,800000191",22,0.4882328990228013,15.38309574,0.0,0.5,1.0,24.9541886548374,41.38052061691573,1.7281612467705691,Good
,0.010830324930583234,28.312631160000002,,"-0,225179911",0.524367088607595,"25,88235283",65,100,801,"8,06000042",22,0.48982084690553745,15.38309574,0.0,0.5,1.0,24.958871812069496,41.40789654152713,1.7281612467705691,Good
"2,7000122",0.01263537829209152,28.312631160000002,,"0,225179911",0.5251898734177215,"25,49019623",65,100,802,"7,53000021",22,0.4929967426710098,15.38309574,0.0,0.5,1.0,25.04946552780157,41.513010068392525,1.7281612467705691,Good
"1,7999878",0.0,28.312631160000002,,"-1,576259971",0.5276582278481012,"25,49019623",65,101,799,"7,610000134",22,0.4914087947882736,15.38309574,0.0,0.5,1.0,24.828175895765472,41.10632911392405,1.7281612467705691,Good
"-2,2000122",0.0036101081498734174,28.312631160000002,,"0,45036",0.5309493670886075,"25,88235283",65,100,799,"7,820000172",21,0.48982084690553745,15.38309574,0.0,0.5,1.0,24.85056856035885,41.382379009539235,1.7281612467705691,Good
-3,0.0,28.312631160000002,,"-0,45036",0.5325949367088607,"25,49019623",65,100,798,"7,960000038",22,0.4914087947882736,15.38309574,0.0,0.5,1.0,24.828175895765472,41.30379746835443,1.7281612467705691,Good
"-2,7999878",0.0,28.312631160000002,,0,0.5375527426160337,"25,09803963",65,100,806,"8,020000458",22,0.4882328990228013,15.38309574,0.0,0.5,1.0,24.764657980456025,41.50210970464135,1.7281612467705691,Good
"-2,5999756",0.0,28.312631160000002,,0,0.5391983122362869,"24,31372643",65,100,796,"8,010000229",22,0.4882328990228013,15.38309574,0.0,0.5,1.0,24.764657980456025,41.56793248945148,1.7281612467705691,Good
"-2,2000122",0.0,28.312631160000002,,0,0.5309493670886075,"29,01960754",65,100,764,"7,920000076",22,0.4914087947882736,15.38309574,0.0,0.5,1.0,24.828175895765472,41.2379746835443,1.7281612467705691,Good
"-0,7999878",0.01263537829209152,28.312631160000002,,"1,576259971",0.5383755274261603,"30,19607925",65,100,903,"7,480000019",22,0.4882328990228013,15.38309574,0.0,0.5,1.0,24.9541886548374,42.04043622873008,1.7281612467705691,Good
"-5,8999634",0.005415162465291617,28.312631160000002,,"-0,900719941",0.5391983122362869,"24,70588303",65,101,834,"8,68999958",22,0.48982084690553745,15.38309574,0.0,0.5,1.0,24.877644375090124,41.78453898806315,1.7281612467705691,Good
"-9,2999878",0.0036101081498734174,28.312631160000002,,"-0,22518003",0.5408438818565401,"24,31372643",65,101,801,"8,090000153",22,0.4882328990228013,15.38309574,0.0,0.5,1.0,24.81880960270413,41.778159600256544,1.7281612467705691,Good
"-9,5999756",0.0,28.312631160000002,,"-0,45036",0.5433122362869198,"25,88235283",65,101,807,"8,079999924",22,0.4866449511400652,15.38309574,0.0,0.5,1.0,24.732899022801302,41.732489451476795,1.7281612467705691,Good
"-9,7000122",0.0,28.312631160000002,,0,0.5251898734177215,"39,2156868",65,100,1195,"7,769999981",22,0.4978013029315961,15.38309574,0.0,0.5,1.0,24.956026058631924,41.00759493670886,1.7281612467705691,Good
"-9,2000122",0.0,28.312631160000002,,0,0.4963502109704641,"40,7843132",65,101,1109,"10,02000046",22,0.5248371335504886,15.38309574,0.0,0.5,1.0,25.49674267100977,39.85400843881857,1.7281612467705691,Good
-11,0.02166064986116647,28.312631160000002,,"2,70216012",0.49470464135021097,"56,86274719",65,102,1251,"8,130000114",21,0.539128664495114,15.38309574,0.0,0.5,1.0,26.107483037819772,40.654611648455095,1.7281612467705691,Good
"-10,7999878",0.05234656842967815,28.312631160000002,,"3,828059912",0.4872784810126582,"33,33333206",65,102,1582,"9,199999809",23,0.5375407166123779,38.05881882,0.0,0.5,1.0,26.536012858692732,41.58500197769346,0.7248716683030509,Good
"-10,7000122",0.07039709818904108,28.312631160000002,,"2,251798629",0.4724472573839662,"29,80392265",65,104,1994,"11,30000019",22,0.550285016286645,35.91353989,0.0,0.5,1.0,27.061656798568517,41.7137742229203,0.766998538865951,Good
